"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Jansen E.; Mišić M.; Schulze K.; Knodt M.; Pfetsch M.E.","Jansen, Erik (59972174700); Mišić, Mile (57213194255); Schulze, Kai (36169494500); Knodt, Michèle (7801544400); Pfetsch, Marc E. (16029748200)","59972174700; 57213194255; 36169494500; 7801544400; 16029748200","Navigating the selection of renewable energy trading partners: A multi-objective optimization approach","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009595068&doi=10.1016%2Fj.egycc.2025.100197&partnerID=40&md5=1698eba5cd08bfdae9e0fca2aefca993","Decarbonizing economies and energy systems is urgently needed in order to meet current climate change mitigation targets. However, many countries, particularly in Europe, will not be able to meet their rapidly growing demand for renewable energy by expanding domestic production alone in the near future. Consequently, these countries are planning to import renewable energy using chemical carriers such as hydrogen and metals. This raises the question of which countries to partner with for renewable energy trade. Selecting the appropriate trading partners is a complex task that requires balancing several potentially conflicting objectives, including cost-efficiency, sustainability, governance, and security of supply. In this article, we present a novel approach to selecting partner countries in the presence of such trade-offs. Our approach uses empirical indicators, abstract selection rules, and the epsilon constraint method to combine these objectives into a single objective optimization problem with additional constraints. We demonstrate our approach by examining the case of Germany as an importer of renewable energy using iron as an energy carrier. Our approach identifies the optimal set of potential trading partners and their respective shares of supplied renewable energy by minimizing costs while meeting the added constraints. For instance, under the most stringent sustainability and security constraints, the model identifies Australia, the United States, Brazil, Spain, Canada, and Chile as potential trading partners for Germany. Relaxing these constraints adds more countries such as Morocco and Oman. Our approach is the first to identify trade networks, i.e., concrete sets of partner countries, that can bridge gaps in renewable energy supply, offering valuable guidance for developing trading partnerships. © 2025 The Author(s)","Energy security; Energy transition; Multi-objective optimization; Reactive metals; Renewable energy trade; Sustainability",""
"Kiesecker J.M.; Evans J.S.; Oakleaf J.R.; Dropuljić K.Z.; Vejnović I.; Rosslowe C.; Cremona E.; Bhattacharjee A.L.; Nagaraju S.K.; Ortiz A.; Robinson C.; Ferres J.L.; Zec M.; Sochi K.","Kiesecker, Joseph M. (7003392079); Evans, Jeffrey S. (14043397000); Oakleaf, James R. (13604989900); Dropuljić, Kasandra Zorica (58997914600); Vejnović, Igor (58997157400); Rosslowe, Chris (56491345100); Cremona, Elisabeth (58123411600); Bhattacharjee, Aishwarya L. (57200220961); Nagaraju, Shivaprakash K. (55637568000); Ortiz, Anthony (57200606660); Robinson, Caleb (57193617558); Ferres, Juan Lavista (57208244216); Zec, Mate (58997461800); Sochi, Kei (53980584200)","7003392079; 14043397000; 13604989900; 58997914600; 58997157400; 56491345100; 58123411600; 57200220961; 55637568000; 57200606660; 57193617558; 57208244216; 58997461800; 53980584200","Land use and Europe’s renewable energy transition: identifying low-conflict areas for wind and solar development","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191096509&doi=10.3389%2Ffenvs.2024.1355508&partnerID=40&md5=ae7b42b843a2e8f25ed94aecaef8c5cc","Continued dependence on imported fossil fuels is rapidly becoming unsustainable in the face of the twin challenges of global climate change and energy security demands in Europe. Here we present scenarios in line with REPowerEU package to identify Renewables Acceleration Areas that support rapid renewable expansion, while ensuring minimal harm to places important for biodiversity and rural communities. We calculated the area needed to meet renewable energy objectives under Business-as-Usual (BAU) and Low-conflict (LCON) development scenarios within each country, providing a broad overview of the potential for renewable energy generation to reduce impacts when development is steered toward lower conflict lands. Our analysis shows that meeting renewable energy objectives would require a network of land-based wind turbines and solar arrays encompassing upwards of 164,789 km2 by 2030 and 445,654 km2 by 2050, the latter roughly equivalent to the land area of Sweden. Our results highlight that BAU development patterns disproportionately target high-conflict land cover types. By 2030, depending on the development pathway, solar and wind development are projected to impact approximately 4,386–20,996 km2 and 65,735–138,454 km2 of natural and agricultural lands, respectively. As renewable energy objectives increase from 2030 to 2050 impacts to natural and agricultural lands also increase, with upwards of 33,911 km2 from future solar development and 399,879 km2 from wind development. Despite this large footprint, low-conflict lands can generate substantial renewable energy: 6.6 million GWh of solar and 3.5 million GWh of wind, 8–31 times 2030 solar objectives and 3–5 times 2030 wind objectives. Given these patterns, we emphasize the need for careful planning in areas with greater impact potential, either due to a larger demand for land area or limited land availability. Top-emitting countries with large renewable energy objectives (Germany, Italy, Poland, France, Spain) and those with limited flexibility in meeting objectives on low-conflict land (Albania, Slovenia, Montenegro, Hungary, Croatia, Serbia, Bosnia Herzegovina, Finland, Greece, Portugal, and Norway) should be priorities for country-level customizations to guide low-conflict siting and avoid disproportionate impacts on high-value areas. Copyright © 2024 Kiesecker, Evans, Oakleaf, Dropuljić, Vejnović, Rosslowe, Cremona, Bhattacharjee, Nagaraju, Ortiz, Robinson, Ferres, Zec and Sochi.","climate mitigation; development scenarios; energy impacts; energy policy; energy sprawl; energy transition; land use change; renewable energy",""
"Urrea Vivas M.A.; Seguí-Amórtegui L.; Guerrero-García-Rojas H.","Urrea Vivas, M.A. (58645194800); Seguí-Amórtegui, L. (55449560300); Guerrero-García-Rojas, H. (8972543200)","58645194800; 55449560300; 8972543200","Analysis of greenhouse gas production at the El Prat del Llobregat wastewater treatment plant, Spain: the decarbonization challenge","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217242506&doi=10.1007%2Fs13762-025-06338-z&partnerID=40&md5=db6ac06aaf4ac1e0b1800a87cce1914e","The process of decarbonization of Wastewater Treatment Plants (WWTPs) has become a global priority. WWTP consume large amounts of energy and emit Greenhouse Gases (GHG) to remove pollutants. Therefore, this article quantitatively analyzes the greenhouse gas emissions produced during the wastewater treatment of one of the largest and most modern wastewater treatment plants in Europe, the El Prat del Llobregat Wastewater Plant. The assessment focused on evaluating the mass and energy balance of the entire process. Identifying the organic load present was essential for determining the impact on the generation of (GHG) during the wastewater treatment and regeneration process. According to the characteristics of the system, the inventory of total emissions is established, identifying the direct emissions produced by each of the stages (carbon dioxide and methane emissions) and the indirect emissions produced by the use of electricity and chemicals, respectively. The results revealed that the highest direct greenhouse gas emission was observed in the biological reactor with the value of 2.5 kgCO2eq/kg COD, 0.08 kg N2O/kgNremoved and 0.0062 kgCH4/kgCOD. The annual GHG emissions from CH4, N2O and CO2 emissions from the water and sludge line are equivalent to 3432 tCO2 eq, apart from the emission caused by flaring biogas, which represents 578.39 tCO2eq. The largest contribution comes from indirect emissions, where energy consumption generates 3,459,105 tCO2/eq. The largest energy consumer in the entire WWTP were the biological reactor with secondary settling and the tertiary treatment, which accounts for 45.20% and 14.8% of the total energy needs respectively. © The Author(s) 2025.","Carbon emissions accounting; CO<sub>2</sub> emission reduction and decarbonization; Energy balance; Greenhouse gas emissions; Mass balance; Wastewater treatment plant","Spain; Kyoto Protocol; Low emission; Carbon emission accounting; Carbon emissions; CO 2 emission; CO2 emission reduction and decarbonization; Decarbonisation; Emission reduction; Energy; Greenhouse gas emissions; Mass balance; Waste water treatment plants; biogas; carbon dioxide; carbon emission; emission control; energy balance; energy use; gas production; greenhouse gas; wastewater treatment plant; Greenhouse gas emissions"
"Gómez A.F.; Rehage R.","Gómez, Alba Forns (59481766700); Rehage, Ruben (59481872800)","59481766700; 59481872800","Is Public Participation in Hydrogen Matters (Un)just? Evaluating the Ex-/inclusion of the Vulnerable and Marginalised Individuals in the Hydrogen Decision-Chains of the EU, Spain and Germany","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212680909&doi=10.1163%2F18760104-21030006&partnerID=40&md5=b896f7c7e96f04639ea4a0be803619ea","The right to public participation was born as a right to participate in the decision making of policies, plans and projects potentially affecting the environmental protection. The latest European Union advancements on climate mitigation through the deployment of a green hydrogen transition can have effects on the environment and thus public participation shall have a role in tailoring the next hydrogen economy. Within the new currents of policy and scholarship, energy transitions should be just and include the vulnerable and/or marginalised individuals of society. Equitable and inclusive participatory processes ensure not only that environmental effects of a hydrogen economy are prevented but also that these unprivileged societal groups are part of the hydrogen transition. This article analyses to what extent disadvantaged groups of society are effectively included and can individually participate in the EU, Spain and Germany’s hydrogen decision-making chains. Instead of providing tailored measures for vulnerable individuals, the three jurisdictions apply a one-size-fits-all approach, i.e. treating everyone the same way, and thus, perpetrating (in)equality of opportunities in a hydrogen economy. © Alba Forns Gómez and Ruben Rehage, 2024.","Aarhus Convention; energy justice; equity; European Union; Germany; hydrogen economy; inclusiveness; positive action; public participation; Spain; vulnerable and/or marginalised groups",""
"Galiano Bastarrica L.A.; Buitrago Esquinas E.M.; Caraballo Pou M.Á.; Yñiguez Ovando R.","Galiano Bastarrica, Luis Antonio (57830256500); Buitrago Esquinas, Eva M. (55293654400); Caraballo Pou, María Ángeles (26429262200); Yñiguez Ovando, Rocío (36103636600)","57830256500; 55293654400; 26429262200; 36103636600","An Integrated Assessment Model for comparing electricity decarbonisation scenarios: The case for Spain","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159086793&doi=10.1016%2Fj.enpol.2023.113592&partnerID=40&md5=2d33fd18150bebeb55023d8bd75bb83d","The decarbonisation of electricity supply poses a major milestone in the mitigation of climate change. Integrated Assessment Models (IAMs) provide a relevant instrument for the quantification and comparison of the economic and environmental impacts of various electricity decarbonisation scenarios, despite having rarely been applied to a national context. In this paper, an IAM able to calculate such impacts on the electricity sector in Spain is presented. Developed using the latest IAM modelling literature, the proposed model is able to estimate changes in temperature, climate-induced economic losses, and investment needs for climate mitigation corresponding to a range of electricity decarbonisation scenarios on a time horizon to 2050. The findings show that scenarios that undertake deeper and earlier cuts in CO2 emissions from electricity generation would achieve better welfare results, and that further reliance on fossil fuels would imply higher costs than the investment needed for renewable energy deployment in Spain. The findings constitute an insight towards the formulation of policies that address the decarbonisation of the Spanish electricity supply. © 2023 The Authors","Climate change; Decarbonisation; Energy policy; Energy transition; Integrated assessment models; Wind and solar energy","Spain; Climate change; Climate models; Decarbonization; Environmental impact; Fossil fuels; Investments; Losses; Climate mitigations; CO 2 emission; Decarbonisation; Economic loss; Electricity sector; Electricity supply; Energy transitions; Integrated assessment models; Temperature climate; Time horizons; alternative energy; climate change; comparative study; economic impact; electricity generation; emission inventory; energy planning; energy policy; environmental economics; environmental impact; integrated approach; investment; quantitative analysis; solar power; wind power; Solar energy"
"Beckstedde E.; Correa Ramírez M.; Cossent R.; Vanschoenwinkel J.; Meeus L.","Beckstedde, Ellen (57473377100); Correa Ramírez, Mauricio (58307073600); Cossent, Rafael (25929093100); Vanschoenwinkel, Janka (55986431600); Meeus, Leonardo (55682345300)","57473377100; 58307073600; 25929093100; 55986431600; 55682345300","Regulatory sandboxes: Do they speed up innovation in energy?","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161284132&doi=10.1016%2Fj.enpol.2023.113656&partnerID=40&md5=3e69012cb638f74c8501e78454a9dbb6","Regulatory sandboxes are generally seen as an important tool to make policy and regulation evolve with the changes in our energy system and to create an equal playing field for new technologies and business models that arise with the energy transition. Although an increasing number of legal frameworks on regulatory sandboxes are being implemented in Europe, the pioneers in the Netherlands decided to close their sandbox program. These contradictory events lead to questions about the potential of regulatory sandboxes to bring innovation to the European energy sector. This paper contributes to this discussion by examining the experiences with regulatory sandboxes in Austria, Belgium, France, Germany, Great Britain, the Netherlands, Norway and Spain. We compare approved sandbox projects based on their scope and regulatory derogations to identify areas of innovation and regulatory learning brought by regulatory sandboxes. We also examine the legal frameworks of the concerned countries to evaluate the interaction between the implementation of the framework and its potential to bring innovation. In this way, we develop best practices on the topics of regulatory sandboxes and their implementation frameworks. © 2023 Elsevier Ltd","Energy regulation; Innovation; Regulatory experimentation; Regulatory sandboxes; Research and development","Europe; Energy resources; Energy; Energy regulation; Innovation; Legal frameworks; Netherlands; Policy and regulation; Regulatory experimentation; Regulatory sandbox; Research and development; Speed up; experiment; innovation; legislation; power generation; regulatory approach; research and development; Energy policy"
"Roth F.; Topaloglou L.; Gabova S.; Bakouros Y.; Happle G.; Kouskoura A.; Xirinachs A.P.","Roth, Florian (56388354100); Topaloglou, Lefteris (24466879200); Gabova, Snezhina (58794690200); Bakouros, Yiannis (6506680669); Happle, Gabriel (57195039594); Kouskoura, Amalia (58493119200); Xirinachs, Anna Puiggròs (60021155300)","56388354100; 24466879200; 58794690200; 6506680669; 57195039594; 58493119200; 60021155300","Pondering the Promises & Problems of Participatory Policy-Making: Lessons Learned from Experiences in Four European Countries","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012119802&doi=10.16997%2Fjdd.1602&partnerID=40&md5=12907bb66d5c3af3665a1775e9f6c7c0","To effectively address grand challenges, such as decarbonization, digitalization and demographic change, engagement is required from diverse actors across policy-making, private business, academia and civil society. Contemporary transformation literature emphasizes Participatory Policy-making (PPM) instruments as critical tools in this process. PPM purportedly enhances both the effectiveness and efficiency of public policies while simultaneously strengthening their legitimacy – a function particularly valuable for socially contested policy issues. However, critical perspectives highlight various theoretical and practical concerns associated with PPM implementation. This article aims to contribute to deliberative theory and practice by presenting a risk-based perspective on PPM that examines intended effects in relation to unintended consequences and contextual factors. Drawing on the lessons learned during PPM projects in Bulgaria, Greece, Spain, and Switzerland, we explore the opportunities and challenges of introducing PPM instruments at the local level within transformative societal processes. Specifically, we investigate the implementation of a set of participatory instruments – such as stakeholder workshops, Delphi surveys, focus groups and citizen panels – over a three-year period from 2021 to 2023. We identify four key contextual conditions influencing the prospects for successful PPM: Local political situation, trust and social capital, institutional commitment, and deliberative capacities. Based on these findings, we develop a set of guiding questions, aimed to support practitioners to develop deliberative strategies that anticipate and mitigate unintended negative consequences, such as the deceleration of essential policy changes or the erosion of political legitimization. © 2025 The Author(s).","case studies; citizen panels; deliberation; legitimacy; participation; responsible innovation; transformation",""
"Brescia V.; Esposito P.; Amelio S.; Biancone P.P.","Brescia, Valerio (57201307361); Esposito, Paolo (55647527700); Amelio, Stefano (56192788000); Biancone, Paolo Pietro (57044697000)","57201307361; 55647527700; 56192788000; 57044697000","Rethinking green investment and corporate sustainability: the south European countries experiences during the COVID-19 crisis","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165189348&doi=10.1108%2FEMJB-03-2023-0093&partnerID=40&md5=92788130e52cd90e7f08c3f669d88396","Purpose: The COVID-19 pandemic has generated a crisis that has hit the European economy and the currently existing systems. To cope with the crisis, Europe has started an investment aiming the energy transition and crisis. Portugal, Spain and Greece have received the approval of their National Recovery Plans from the European Commission, with a definition of spending up to 2026 through the European Union (EU) Next Generation Found. The study investigates whether the Green Deal policies are relaunched by the plans financed and whether the pandemic has changed and conditioned the priorities of the energy transaction. The study uses the lens of corporate social responsability (CSR) and relapse measurable across the Sustainable Development Goals (SDGs). Design/methodology/approach: The Green Deal policies supported by new European investments in the three countries were analyzed through a content analysis (CA) technique to investigate the associated practical and theoretical elements. Findings: The energy theme has a relevance compared to other issues in the investment plans envisaged in Greece, Portugal and Spain. The analysis highlights energy efficiency, sustainable energy and reduction of consumption among the main themes. Energetically, sustainable building plays a central role. The study highlights the relationship between Green Deal policies, CSR, SDGs and management tools adopted. Originality/value: The study strengthens the relationship between the Green Deal, CSR and SDGs by identifying policies that have already been implemented and theoretical and practical gaps on which politicians and scholars will have to investigate and support in the process of development and continuity of the identified pillars. © 2023, Emerald Publishing Limited.","COVID-19; Energy; EU Next Generation; Green deal",""
"Arizcuren-Blasco J.; Martin-Garcia R.; Ruiz-Rua A.","Arizcuren-Blasco, Javier (58205425600); Martin-Garcia, Rodrigo (47561840900); Ruiz-Rua, Aurora (55351221600)","58205425600; 47561840900; 55351221600","Is unsubsidised energy transition possible? Feasibility of replacing diesel buses with electric ones","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154020807&doi=10.1016%2Fj.tranpol.2023.04.008&partnerID=40&md5=cc173f9b4a10facaa91a4162ef156558","This study assesses the economic viability of replacing the existing diesel vehicles with electric ones in the public transport sector of mid-sized European cities. It analyses the win-win situation that would result from a public-private financing of such vehicles. The proposed methodology is designed to revisit and improve public sector decision-making and its tools. The procedure entails an analysis of the acquisition and operating costs of electric buses, accounting separately for internal costs and externalities, applying different discount rates for the concessionaire and for public funds. The data used for this study comes from literature review and open-source data for Zaragoza, a medium size city in Northeast Spain. The results obtained show that investment in electric buses, by itself, is not profitable if approached only from the private sector and therefore requires public subsidy. The study, replicable in other locations, reveals the importance of this type of analysis during the decision-making process, considering public funds for sustainable urban mobility development as one solution to address energy transition. © 2023 The Authors","Decarbonisation; Electric vehicles; Public subsidy; Public transport; Transport externalities; Urban mobility","Aragon; Spain; Zaragoza; decision making; diesel engine; electric vehicle; feasibility study; literature review; methodology; public transport"
"Okunevičiūtė Neverauskienė L.; Kvietkauskienė A.; Tvaronavičienė M.; Danilevičienė I.; Gedvilaitė D.","Okunevičiūtė Neverauskienė, Laima (36651545900); Kvietkauskienė, Alina (57224473031); Tvaronavičienė, Manuela (10041082800); Danilevičienė, Irena (57193096794); Gedvilaitė, Dainora (57197823673)","36651545900; 57224473031; 10041082800; 57193096794; 57197823673","Evaluation of Renewable Energy Sources Sector Development in the European Union","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015610469&doi=10.3390%2Fen18174786&partnerID=40&md5=9094dcc3717558467cc03dbe255a7da5","The global energy landscape is transforming, driven by the urgent need to address climate change, reduce dependency on fossil fuels, and promote sustainable economic growth. Renewable energy sources (RESs) have emerged as a cornerstone of this transition, offering environmental benefits and significant potential to catalyze economic development. By harnessing inexhaustible natural resources, such as solar, wind, hydro, and biomass, renewable energy systems provide a pathway to achieving energy security, fostering innovation, and generating new economic opportunities. In this article, the economic effect on the RES sector development was examined. The authors defined the set from seven indicators: real GDP growth, unemployment rate, inflation rate, exports of goods and services, government debt, foreign direct investments, and labor cost index, which allowed them to evaluate the EU countries’ economic situation and rank the countries by economic stability level. The results, which were obtained using a multi-criteria evaluation method, show that the EU countries whose economies are the strongest according to the evaluated macroeconomic indicators are Luxembourg, Malta, Estonia, and Ireland. The countries with the lowest scores are Greece, Italy, and Spain. Seeking to evaluate the development level of the RES sector in all ranked EU countries, the analysis of RES sector development during the 2012–2022 period, using these RES indicators—share of renewable energy in gross final energy consumption by sector—in general, in transport, in electricity, and in heating and cooling, was carried out and, through a different multi-criteria method, the countries were ranked by RES development. After the analysis was carried out, it could be stated that the economic situation stability in the country does not directly affect the growth of the RES sector development, and the two rankings by different indicators are heavily uncorrelated. RES sector development can be affected by many other circumstances. RES development is still stagnating in some countries, despite macroeconomic stability, for several reasons: institutional and political barriers, differences in the availability of finance, infrastructure limitations, and technological and human resource shortages. © 2025 by the authors.","economic development; EU countries; multi-criteria evaluation; RES; SAW","Economic analysis; Economic and social effects; Employment; Energy economics; Energy policy; International law; Investments; Renewable energy; Renewable fuels; Sustainable development; Economic development; Economic situation; Energy landscape; EU countries; European union; Global energy; Multi-criteria evaluation; Multi-criterion evaluation; Renewable energies; Renewable energy source; Wages"
